,date,vegetable,unit,minimum,maximum,average
412,2025-06-05,सेतो मूला(हाइब्रीड),kg,20,25,22
413,2025-06-05,भन्टा लाम्चो,kg,12,20,15
414,2025-06-05,भन्टा डल्लो,kg,25,32,28
415,2025-06-05,बोडी(तने),kg,35,40,37
416,2025-06-05,मकै बोडी,kg,55,65,60
417,2025-06-05,मटरकोशा,kg,130,150,140
418,2025-06-05,घिउ सिमी(लोकल),kg,30,40,35
419,2025-06-05,घिउ सिमी(हाइब्रीड),kg,25,35,30
420,2025-06-05,घिउ सिमी(राजमा),kg,100,120,110
421,2025-06-05,भटमासकोशा,kg,120,130,125
422,2025-06-05,तितो करेला,kg,40,50,45
423,2025-06-05,लौका,kg,22,32,26
424,2025-06-05,परवर(लोकल),kg,45,55,50
425,2025-06-05,परवर(तराई),kg,40,50,45
426,2025-06-05,चिचिण्डो,kg,20,30,25
427,2025-06-05,घिरौला,kg,30,40,35
428,2025-06-05,झिगूनी,kg,50,60,55
429,2025-06-05,फर्सी पाकेको,kg,35,45,40
430,2025-06-05,फर्सी हरियो(लाम्चो),kg,25,30,27
431,2025-06-05,हरियो फर्सी(डल्लो),kg,15,25,20
432,2025-06-05,भिण्डी,kg,25,35,30
433,2025-06-05,सखरखण्ड,kg,65,75,70
434,2025-06-05,पिंडालू,kg,100,120,110
435,2025-06-05,रायो साग,kg,20,30,25
436,2025-06-05,पालूगो साग,kg,30,40,35
437,2025-06-05,चमसूरको साग,kg,60,70,65
438,2025-06-05,तोरीको साग,kg,25,35,30
439,2025-06-05,मेथीको साग,kg,80,100,90
440,2025-06-05,प्याज हरियो,kg,60,75,68
441,2025-06-05,च्याउ(कन्य),kg,170,190,180
442,2025-06-05,च्याउ(डल्ले),kg,280,320,300
443,2025-06-05,कुरीलो,kg,200,350,275
444,2025-06-05,न्यूरो,kg,20,30,25
445,2025-06-05,ब्रोकाउली,kg,65,75,70
446,2025-06-05,चुकुन्दर,kg,65,75,70
447,2025-06-05,सजिवन,kg,110,120,115
448,2025-06-05,रातो बन्दा,kg,65,75,70
449,2025-06-05,जिरीको साग,kg,70,80,75
450,2025-06-05,ग्याठ कोबी,kg,45,55,50
451,2025-06-05,सेलरी,kg,110,120,115
452,2025-06-05,पार्सले,kg,300,400,350
453,2025-06-05,सौफको साग,kg,80,100,91
454,2025-06-05,पुदीना,kg,100,110,105
455,2025-06-05,गान्टे मूला,kg,30,40,35
456,2025-06-05,इमली,kg,160,170,165
457,2025-06-05,तामा,kg,90,100,95
458,2025-06-05,तोफु,kg,110,140,126
459,2025-06-05,गुन्दुक,kg,300,350,326
460,2025-06-05,स्याउ(झोले),kg,230,250,240
461,2025-06-05,स्याउ(फूजी),kg,240,300,273
462,2025-06-05,केरा,dozen,140,150,145
463,2025-06-05,कागती,kg,180,200,190
464,2025-06-05,अनार,kg,300,350,326
465,2025-06-05,आँप(मालदह),kg,55,65,60
466,2025-06-05,आँप(दसहरी),kg,65,75,70
467,2025-06-05,अंगुर(हरियो),kg,200,250,226
468,2025-06-05,अंगुर(कालो),kg,300,350,326
469,2025-06-05,तरबुजा(हरियो),kg,30,40,35
470,2025-06-05,मौसम,kg,180,200,190
471,2025-06-05,जुनार,kg,200,250,226
472,2025-06-05,भुई कटहर,per piece,160,180,170
473,2025-06-05,काक्रो(लोकल),kg,40,50,45
474,2025-06-05,काक्रो(हाइब्रीड),kg,10,18,14
475,2025-06-05,रुख कटहर,kg,55,65,60
476,2025-06-05,मेवा(भारतीय),kg,90,100,95
477,2025-06-05,लीच्ची(लोकल),kg,120,140,130
478,2025-06-05,लीच्ची(भारतीय),kg,180,200,190
479,2025-06-05,अदुवा,kg,90,110,100
480,2025-06-05,खु्र्सानी सुकेको,kg,380,420,400
481,2025-06-05,खु्र्सानी हरियो,kg,40,50,45
482,2025-06-05,खुर्सानी हरियो(बुलेट),kg,35,45,40
483,2025-06-05,खुर्सानी हरियो(माछे),kg,30,40,35
484,2025-06-05,खुर्सानी हरियो(अकबरे),kg,260,300,280
485,2025-06-05,भेडे खु्र्सानी,kg,75,85,79
486,2025-06-05,हरियो धनिया,kg,40,50,45
487,2025-06-05,लसुन सुकेको चाइनिज,kg,200,220,210
488,2025-06-05,लसुन सुकेको नेपाली,kg,170,180,175
489,2025-06-05,छ्यापी सुकेको,kg,180,200,190
490,2025-06-05,छ्यापी हरियो,kg,100,120,110
491,2025-06-05,ताजा माछा(रहु),kg,310,330,320
