Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
133,2025-06-08,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,209,209,204.9,205.05,106941,21990275.4,205.65,274.9,150.9,2025-06-08T14:59:19.17038,205,352,205.62,4101
134,2025-06-08,2789,JOSHI,Joshi Hydropower Development Company Ltd,381,400,381,386.76,36093,14121827.4,383.08,521.6,265,2025-06-08T14:59:44.883578,391,196,391.26,1436.43
135,2025-06-08,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1025.2,1045,1025,1040.06,1294,1332696.1,1043.14,1491,938,2025-06-08T14:52:45.154561,1035,40,1029.9,3818.51
136,2025-06-08,2792,UPPER,Upper Tamakoshi Hydropower Ltd,200,200,197.3,198.28,118862,23619666.8,198.96,295,152.1,2025-06-08T14:59:55.031453,198.5,563,198.71,41995.7
137,2025-06-08,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1321.1,1321.1,1250,1276.86,11726,14970521.9,1347.72,3047,1136.7,2025-06-08T14:59:59.378236,1273,230,1276.69,2180.94
138,2025-06-08,2806,GHL,Ghalemdi Hydro Limited,245,247.8,241.2,245.56,150792,36847339.7,243.09,318,142,2025-06-08T14:59:49.534842,247,390,244.35,4051.74
139,2025-06-08,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,800,810,795,795.8,4951,3947449.5,805.04,1177,771,2025-06-08T14:57:24.502679,797,78,797.3,5833.58
140,2025-06-08,2808,ALBSLP,Asha Laghubitta Bittiya Sanstha Ltd Promoter Share,442,442,442,442,12000,5304000,442,542,442,2025-06-08T12:58:40.265858,442,2,442,1475.9
141,2025-06-08,2809,SHIVM,SHIVAM CEMENTS LTD,520,520,514,515.37,144101,74397128.8,518.43,779.9,470.5,2025-06-08T14:59:50.349767,515,630,516.28,28122.75
142,2025-06-08,2810,UPCL,UNIVERSAL POWER COMPANY LTD,468,489,465.2,470.51,1303525,622778849,468.62,489,186,2025-06-08T14:59:59.334001,471,3332,477.76,10727.3
143,2025-06-08,2811,MHNL,Mountain Hydro Nepal Limited,252.2,257.2,252.2,253.03,11323,2876446.2,255.06,379,226,2025-06-08T14:59:27.258015,253,64,254.03,3162.88
144,2025-06-08,2813,PPCL,Panchthar Power Compant Limited,326,333.3,322,323.7,47748,15552127.3,326.78,367.2,221.6,2025-06-08T14:59:57.096213,325,130,325.71,3115.61
145,2025-06-08,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1540,1540,1487.1,1500,983,1478364.8,1540,2327,1235,2025-06-08T14:53:58.13129,1500,31,1503.93,2273.32
146,2025-06-08,2824,HURJA,Himalaya Urja Bikas Company Limited,250,256,246.3,254.3,215574,54613244.5,249.15,326.6,183.6,2025-06-08T14:59:49.832136,254.8,500,253.33,5035.14
147,2025-06-08,2825,NICAD85/86,10% NIC Asia Debenture 2085/86,1100.1,1100.1,1100.1,1100.1,25,27502.5,1091.2,1175,1004.9,2025-06-08T14:50:28.302059,1100.1,1,1100.1,2645.4
148,2025-06-08,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2355,2466,2355,2423.59,2873,6997312.7,2362.13,3486,1560,2025-06-08T14:59:43.148144,2425,78,2435.54,2807.72
149,2025-06-08,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1740,1740,1681,1717.53,887,1500779.4,1735,2426.4,1323,2025-06-08T14:58:21.47698,1705,22,1691.97,2635.47
150,2025-06-08,2831,UNHPL,Union Hydropower Limited,314.4,346,314.4,338.8,149540,50236376,320.78,371,219.1,2025-06-08T14:59:46.245258,338,514,335.93,2541
151,2025-06-08,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,835.1,850,830.5,847,4154,3470816.3,842.53,1370,820.2,2025-06-08T14:53:42.953776,849,48,835.53,4213.11
152,2025-06-08,2835,NBF2,NABIL BALANCED FUND-2,10.08,10.08,9.81,9.86,45282,447251.98,9.89,10.63,8.05,2025-06-08T14:43:02.041621,9.86,15,9.87,1104.32
153,2025-06-08,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,368.1,392,368.1,389.77,65412,24988500.2,370.63,527,260.3,2025-06-08T14:59:50.819286,389,391,382.01,26668.45
154,2025-06-08,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,314,325,314,322.01,17659,5619453.8,315.24,442,256,2025-06-08T14:59:59.045519,324,171,318.22,11753.36
155,2025-06-08,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,10,10,9.9,9.9,10250,101600,9.94,10.48,7.95,2025-06-08T14:29:48.535775,9.9,4,9.91,1188
156,2025-06-08,2860,SAPDBL,Saptakoshi Development Bank Ltd,1067.1,1197.7,996,1141.26,232016,249621102.9,1088.85,1622.7,317,2025-06-08T14:59:46.211008,1053,877,1075.87,9521.97
157,2025-06-08,2863,NICBF,NIC Asia Balanced Fund,9.08,9.2,9.08,9.13,1000,9134,9.11,10.5,8.38,2025-06-08T13:05:27.013353,9.13,4,9.13,689.32
